Código,Descrição,Fornecedor
11851,LEG CIRRE ESTAMPADO C FAIXA NEON,FABRICACAO
11764,CALCINHA DIVERSAS HANGAR,HANGAR
9901,CALCINHA KIT 2 PCS ROMANTIC POP,POP
9900,CALCINHA KIT 2 PCS COTON POP,POP
9091,CAMISETA MASCULINA PERSONAGENS OVER,OVER SIDE
3154,CALCA WALE DO WEST JEANS FEMENINO.JEZZIAN,JEZZIAN
4999,CALCINHA SEX KISS C/ ESTAMPA,ADELSON
3823,CALCOLA MICROFIBRA RENDA ZE DUDA FISL,ZE DUDA
1529,KIT MEIA FEM C 3 PS,HANGAR
6664,BLUSA M/M VISCO LISA.AGTEX FBSL,AGTEX
3481,CALCINHA MICROFIBRA BASICA HANGAR,HANGAR
3472,SHORT JEANS DIVERSAS ARRASO,ARRASO
3256,SHORT CANELADO ARRASO. FJSL,ARRASO
752,SUTIA C/ BOJO LISO REBLESSED.FIBC,REBLESSED
6850,MULLET LISO FEM.CLAUDINHO FBAR,BCC
2813,BLUSA BASICA PLUS ARRASO .FBAR,ARRASO
785,BLUSA FEM LISA BASICA ALCA P/M/G FINA ARRASO,ARRASO
17446,BLUSA DE OMBRINHO CLAUDINHO. FJSL,BCC
2111,VESTIDO C/ BABADO VISAO,VISAO MODA
4301,BERMUDA MASC NITRIX. MJPR,NITRIX
3401,REGATA PLUS GINASTICA GLOSS,GLOSS MODA
3403,REGATA LONGA GINASTICA GLOSS.FFSL,GLOSS MODA
3463,TAPA BICO SILICONE,HANGAR
18194,CASACO CAEDU PROMOCIONAL .,PROMOCIONAL
17671,JEANS PROMOCIONAL,PROMOCIONAL
2003,CALCA FEM BENGALINE .JEZZIAN,JEZZIAN
3470,KIT 3 PARES MEIAS FEM LISA MESCLADA,HANGAR
2045,REGATA LISA VISCO. AGTEX. FBSL,AGTEX
17683,CALCA LEG COS FRANZIDO C/FITA REF 52873 AEDD,AEDD
483,REGATA FITNESS FURADINHA. NILKAMP FFSL,NILKAMP
926,BERMUDA SUPLEX ESTAMPADA. NILKAMP. FFSL,NILKAMP
1354,CALCINHA FEM LISA SEM COSTURA HANGAR FISL,HANGAR
1441,BERMUDA SUPLEX ESTAMPADA PLUS.NILKAMP .FFSL,NILKAMP
1453,TOP NADADOR S/ COSTURA HM,HANGAR
1553,CIGARRETE PLUS. BLACKOUT. FJPR,BLACKOUT
1560,TOP S/ BOJO FURADINHO,NEEDFEEL
1889,CAMISETA M/M MASC ADULTO LISO MBSL. ECCO SURF MBSL,ECCO SURF
1919,BLUSA FEM GOLA V C/ ESTAMPA SORTIDA GUI,AGTEX
2176,BERMUDA MASC. COLLOR,IDISE
2177,BERMUDA MASCULINA 7763,IDISE
2281,CUECA POLIAMIDA HANGAR MORIAH (SEM TROCA),HANGAR
2301,CUECA POLIAMIDA HM,HANGAR
2370,MACACAO PANTA ALCINHA MULEKA,ANTONIA
2383,KIT CALCINHAS ROBERTA,ROBERTA
2449,CALCINHA SIMPLES RENDA AMORAMA,AMORAMA
2673,CALCA LISA JOGGER MASC JEZZIAN DIRVESAS,JEZZIAN
2769,BABYDOOL DECOTE LIGANETE CONF LINHARES,CONFECÇÃO LINHARES
2773,BERMUDA MASC JOGGER MAX DENIM REF 10651,MAX DENIM
2774,BERMUDA MASC TRADICIONAL REF : 10656,MAX DENIM
2777,SKINNY COS ALTO,MAX DENIM
2780,CALCA MASC SLIM,MAX DENIM
2785,CIGARRET COS ALTO REF: 4806,MAX DENIM
2800,CALCA MASCULINA RETA REF 30013,MINEIRO
2831,BABY LOOK V PLUS LISA AGTEX.FPSL,AGTEX
